"","transcript_id","chr_name","start","end","transcript_size","CDS_length","number_exons","gene_id","ns","s","CUB_dmel"
"18","ENSBTAT00000000795","1",10713986,10736901,22915,858,9,"ENSBTAG00000000603",16,7,0.383491500784654
"19","ENSBTAT00000000849","1",9441708,9491321,49613,2794,8,"ENSBTAG00000000648",260,102,0.239561557651307
"20","ENSBTAT00000000944","1",9584189,9591537,7348,2901,9,"ENSBTAG00000000706",157,65,0.163657832516395
"21","ENSBTAT00000000988","1",134950998,134964215,13217,2289,9,"ENSBTAG00000000742",290,92,0.239888365719815
"22","ENSBTAT00000000991","1",133084511,133113770,29259,1729,2,"ENSBTAG00000000750",30,21,0.376939914619136
"23","ENSBTAT00000000994","1",157302774,157373918,71144,2415,18,"ENSBTAG00000000746",109,42,0.12802644319329
"24","ENSBTAT00000000999","1",157393877,157409304,15427,1532,7,"ENSBTAG00000000752",63,21,0.332325353464258
"25","ENSBTAT00000001128","1",72100419,72117939,17520,615,6,"ENSBTAG00000006724",36,9,0.31761522180739
"26","ENSBTAT00000001199","1",135468851,135523388,54537,616,8,"ENSBTAG00000000905",46,16,0.189742605280316
"27","ENSBTAT00000001288","1",150593947,150595071,1124,1124,1,"ENSBTAG00000000973",59,27,0.250243217883098
"28","ENSBTAT00000001338","1",66113617,66142720,29103,1442,13,"ENSBTAG00000001009",42,13,0.218433789015393
"29","ENSBTAT00000001530","1",1046440,1046826,386,386,1,"ENSBTAG00000001150",20,12,0.121134781491458
"30","ENSBTAT00000001599","1",56636130,56726806,90676,3462,15,"ENSBTAG00000001209",256,92,0.135316499127775
"31","ENSBTAT00000001635","1",57640691,57680856,40165,1057,8,"ENSBTAG00000001235",50,27,0.217730484680175
"32","ENSBTAT00000001660","1",2065204,2082133,16929,468,6,"ENSBTAG00000001258",15,7,0.324996157229314
"33","ENSBTAT00000001667","1",80536979,80545400,8421,1601,7,"ENSBTAG00000001265",45,21,0.306875809549348
"34","ENSBTAT00000001703","1",64451499,64545472,93973,2275,17,"ENSBTAG00000001293",87,41,0.212436949466569
"35","ENSBTAT00000001747","1",135336890,135423989,87099,1918,14,"ENSBTAG00000001324",72,29,0.226848276176946
"36","ENSBTAT00000001756","1",117434619,117479147,44528,1512,12,"ENSBTAG00000001331",57,26,0.399069455734511
"37","ENSBTAT00000001832","1",19228925,19256538,27613,887,4,"ENSBTAG00000001395",48,23,0.351511588875833
"38","ENSBTAT00000001851","1",7267906,7280970,13064,774,6,"ENSBTAG00000001412",76,22,0.227044067640463
"39","ENSBTAT00000001857","1",42241402,42286990,45588,1395,9,"ENSBTAG00000001416",29,16,0.170342962960966
"40","ENSBTAT00000001891","1",66366631,66408041,41410,2165,22,"ENSBTAG00000033166",53,29,0.217080950798985
"41","ENSBTAT00000001899","1",131003440,131008082,4642,1021,2,"ENSBTAG00000001451",26,17,0.100403500371649
"42","ENSBTAT00000001918","1",64939755,65018584,78829,2451,9,"ENSBTAG00000001464",232,65,0.122090053570912
"43","ENSBTAT00000001919","1",114908608,114909726,1118,1118,1,"ENSBTAG00000001465",28,8,0.167701943026788
"44","ENSBTAT00000001978","1",79598422,79610106,11684,2110,8,"ENSBTAG00000001511",240,66,0.247127361274635
"45","ENSBTAT00000002225","1",81288416,81307568,19152,855,9,"ENSBTAG00000001697",25,10,0.455804073726357
"46","ENSBTAT00000002261","1",119151085,119189865,38780,1001,7,"ENSBTAG00000001721",28,12,0.232092384249689
"47","ENSBTAT00000002263","1",116623017,116651029,28012,7830,6,"ENSBTAG00000001728",427,168,0.221469722594387
"48","ENSBTAT00000002296","1",81587522,81621106,33584,1750,17,"ENSBTAG00000001749",110,37,0.294142692701442
"49","ENSBTAT00000002299","1",765989,820845,54856,1959,6,"ENSBTAG00000001753",75,39,0.277861914414571
"50","ENSBTAT00000002319","1",149617485,149708857,91372,2251,11,"ENSBTAG00000001771",130,45,0.265947632097923
"51","ENSBTAT00000002461","1",70373081,70433015,59934,2682,18,"ENSBTAG00000001890",171,67,0.154427714235538
"52","ENSBTAT00000002463","1",118663502,118690499,26997,604,5,"ENSBTAG00000001893",18,8,0.0861033543468281
"53","ENSBTAT00000002496","1",65608795,65930001,321206,3528,27,"ENSBTAG00000001918",124,48,0.530224994867363
"54","ENSBTAT00000002501","1",65944702,66052095,107393,8102,34,"ENSBTAG00000001920",253,114,0.668186706755593
"55","ENSBTAT00000002554","1",86376288,86382563,6275,1307,10,"ENSBTAG00000001968",78,22,0.407372976511602
"56","ENSBTAT00000002557","1",86318896,86370330,51434,2803,20,"ENSBTAG00000001969",189,53,0.542573803884063
"57","ENSBTAT00000002629","1",139831370,139879354,47984,1102,8,"ENSBTAG00000002029",33,19,0.177937465023161
"58","ENSBTAT00000002681","1",112480116,112590662,110546,2228,22,"ENSBTAG00000002075",74,28,0.36116008094268
"59","ENSBTAT00000002768","1",58791094,58837917,46823,1094,7,"ENSBTAG00000002132",24,13,0.198859417621248
"60","ENSBTAT00000002795","1",157546049,157559366,13317,2109,9,"ENSBTAG00000004538",237,74,0.284769624165326
"61","ENSBTAT00000002828","1",64430857,64432913,2056,262,2,"ENSBTAG00000002182",32,15,0.195369939519286
"62","ENSBTAT00000002831","1",127215635,127222117,6482,336,3,"ENSBTAG00000002185",21,5,0.128596780118353
"63","ENSBTAT00000002887","1",126259508,126320417,60909,2396,13,"ENSBTAG00000002232",114,35,0.390425213663146
"64","ENSBTAT00000003112","1",119005744,119045977,40233,2992,17,"ENSBTAG00000002395",125,48,0.239168467336281
"65","ENSBTAT00000003195","1",87518852,87535955,17103,749,7,"ENSBTAG00000002462",34,12,0.32409487432353
"66","ENSBTAT00000003197","1",87504103,87518655,14552,561,6,"ENSBTAG00000002463",29,8,0.336015626411553
"67","ENSBTAT00000003394","1",22617571,22675029,57458,1090,8,"ENSBTAG00000002623",37,10,0.262555452617935
"68","ENSBTAT00000003589","1",87683188,87714943,31755,1011,9,"ENSBTAG00000002767",18,11,0.302343926011302
"69","ENSBTAT00000003764","1",158238817,158253080,14263,1586,13,"ENSBTAG00000002896",61,16,0.0910719784529126
"70","ENSBTAT00000003865","1",137052316,137186825,134509,6674,55,"ENSBTAG00000002966",186,84,0.669992314258723
"71","ENSBTAT00000003977","1",2924884,2936085,11201,863,7,"ENSBTAG00000003059",52,21,0.208261053471596
"72","ENSBTAT00000003984","1",2828980,2916596,87616,4659,30,"ENSBTAG00000003063",193,82,0.259870387048885
"73","ENSBTAT00000003985","1",2828980,2912990,84010,3926,31,"ENSBTAG00000003063",161,69,0.321092086412222
"74","ENSBTAT00000003986","1",2786812,2817777,30965,2748,18,"ENSBTAG00000003064",104,37,0.300249060369683
"75","ENSBTAT00000004073","1",143317126,143319678,2552,516,3,"ENSBTAG00000003134",25,15,0.381627248680283
"76","ENSBTAT00000004075","1",108226816,108249139,22323,470,4,"ENSBTAG00000003135",19,3,0.156126057089604
"77","ENSBTAT00000004084","1",80690745,80696426,5681,531,3,"ENSBTAG00000003140",58,15,0.146381606568887
"78","ENSBTAT00000004087","1",80668390,80684981,16591,1665,6,"ENSBTAG00000003143",55,10,0.184853510227363
"79","ENSBTAT00000004094","1",80644122,80661759,17637,1064,10,"ENSBTAG00000003151",47,18,0.172366589046571
"80","ENSBTAT00000004097","1",145931369,145971872,40503,5909,28,"ENSBTAG00000003148",446,133,0.0653955546054254
"81","ENSBTAT00000004104","1",145972840,145977380,4540,1151,4,"ENSBTAG00000003161",78,18,0.310198998590541
"82","ENSBTAT00000004128","1",79629615,79633345,3730,667,2,"ENSBTAG00000003179",58,15,0.297752227130626
"83","ENSBTAT00000004381","1",72278287,72317899,39612,1685,16,"ENSBTAG00000054986",30,14,0.355545024284356
"84","ENSBTAT00000004385","1",70085556,70086158,602,602,1,"ENSBTAG00000003383",57,18,0.149689642080798
"85","ENSBTAT00000004503","1",45161608,45187920,26312,1196,7,"ENSBTAG00000016363",89,29,0.477652847950036
"86","ENSBTAT00000004664","1",52718241,52765326,47085,871,8,"ENSBTAG00000003585",45,11,0.383940677694801
"87","ENSBTAT00000004776","1",46886995,46938286,51291,1230,9,"ENSBTAG00000003666",28,15,0.189614993484746
"88","ENSBTAT00000004843","1",152599928,152638229,38301,1725,18,"ENSBTAG00000003718",93,36,0.274691706915497
"89","ENSBTAT00000004988","1",132298485,132299717,1232,1232,1,"ENSBTAG00000003833",12,8,0.454067934554831
"90","ENSBTAT00000005025","1",110448815,110460851,12036,1567,11,"ENSBTAG00000003851",99,36,0.276348587996329
"91","ENSBTAT00000005042","1",66712149,66743242,31093,3249,6,"ENSBTAG00000003865",230,109,0.195293353233111
"92","ENSBTAT00000005113","1",153262939,153266387,3448,243,3,"ENSBTAG00000003916",14,5,0.129857103225232
"93","ENSBTAT00000005303","1",157232251,157249033,16782,1884,3,"ENSBTAG00000004061",72,25,0.144581813200839
"94","ENSBTAT00000005398","1",42888794,42901291,12497,1340,7,"ENSBTAG00000004124",69,28,0.158824495919007
"95","ENSBTAT00000005403","1",108908371,108938711,30340,803,7,"ENSBTAG00000004126",36,15,0.441222926532769
"96","ENSBTAT00000005416","1",6816144,6831796,15652,2219,4,"ENSBTAG00000004139",132,43,0.173869059333884
"97","ENSBTAT00000005438","1",97036494,97055587,19093,2046,6,"ENSBTAG00000004154",60,21,0.512245664755546
"98","ENSBTAT00000005845","1",45033538,45061011,27473,820,5,"ENSBTAG00000004459",13,6,0.232387527274366
"99","ENSBTAT00000005868","1",43066223,43108334,42111,984,9,"ENSBTAG00000004471",24,15,0.308044970211766
"100","ENSBTAT00000005894","1",136874709,136905303,30594,1200,12,"ENSBTAG00000004495",44,17,0.451377807937242
"101","ENSBTAT00000005967","1",157490911,157498122,7211,1518,6,"ENSBTAG00000049158",37,17,0.614141325527911
"102","ENSBTAT00000005998","1",115308871,115461582,152711,1100,7,"ENSBTAG00000004564",27,15,0.296502132919089
"103","ENSBTAT00000006033","1",56759915,56773306,13391,554,4,"ENSBTAG00000004599",16,6,0.203391255056056
"104","ENSBTAT00000006038","1",56737590,56750235,12645,913,5,"ENSBTAG00000004601",23,14,0.262801951782529
"105","ENSBTAT00000006175","1",66483437,66517099,33662,1642,8,"ENSBTAG00000004705",190,60,0.210201089479508
"106","ENSBTAT00000006224","1",146975508,147244269,268761,1432,8,"ENSBTAG00000004742",112,39,0.286822202911792
"107","ENSBTAT00000006240","1",140132683,140468933,336250,5513,31,"ENSBTAG00000004754",146,70,0.0886295404570256
"108","ENSBTAT00000006275","1",146273758,146276847,3089,274,2,"ENSBTAG00000004777",17,2,0.105672337481829
"109","ENSBTAT00000006292","1",149465882,149495856,29974,728,7,"ENSBTAG00000004791",42,24,0.170640874473259
"110","ENSBTAT00000006347","1",44617644,44637159,19515,839,10,"ENSBTAG00000004833",36,15,0.210932957622062
"111","ENSBTAT00000006400","1",19460179,19502252,42073,1088,7,"ENSBTAG00000004869",46,25,0.245086480068375
"112","ENSBTAT00000006434","1",153276742,153318207,41465,920,7,"ENSBTAG00000004891",79,25,0.14502461800973
"113","ENSBTAT00000006545","1",58581537,58617947,36410,1391,13,"ENSBTAG00000004971",52,10,0.352696278472823
"114","ENSBTAT00000006547","1",58619873,58629382,9509,1283,4,"ENSBTAG00000004974",62,22,0.146910208219426
"115","ENSBTAT00000006550","1",58637240,58735020,97780,2722,17,"ENSBTAG00000004975",132,35,0.213773621321197
"116","ENSBTAT00000006676","1",118403876,118413379,9503,592,5,"ENSBTAG00000005068",29,5,0.139628390486834
"117","ENSBTAT00000006679","1",67064563,67120159,55596,1444,8,"ENSBTAG00000005066",74,21,0.408536604626035
"118","ENSBTAT00000006685","1",67121699,67209302,87603,1422,9,"ENSBTAG00000005071",64,28,0.167155777106828
"119","ENSBTAT00000006711","1",80924191,81097086,172895,2349,24,"ENSBTAG00000005091",89,19,0.108220019507041
"120","ENSBTAT00000006755","1",80507091,80530603,23512,1297,11,"ENSBTAG00000005122",43,18,0.215536504988432
"121","ENSBTAT00000006796","1",38275877,38352551,76674,1277,10,"ENSBTAG00000005155",70,20,0.454005181542077
"122","ENSBTAT00000006804","1",38315810,38316685,875,875,1,"ENSBTAG00000005162",27,9,0.404246139415123
"123","ENSBTAT00000006854","1",111876393,111901819,25426,877,5,"ENSBTAG00000005203",54,12,0.36954718646986
"124","ENSBTAT00000006865","1",81984277,82104450,120173,748,2,"ENSBTAG00000005212",41,15,0.18510820354311
"125","ENSBTAT00000006988","1",82611705,82631511,19806,2975,16,"ENSBTAG00000005313",274,90,0.307345902348503
"126","ENSBTAT00000007148","1",74489024,74609952,120928,1471,2,"ENSBTAG00000005430",97,33,0.107140773004159
"127","ENSBTAT00000007234","1",146321575,146341271,19696,829,8,"ENSBTAG00000005503",44,19,0.203589530837771
"128","ENSBTAT00000007283","1",904171,904713,542,542,1,"ENSBTAG00000005540",31,12,0.560352725750672
"129","ENSBTAT00000007431","1",82918375,82919508,1133,235,2,"ENSBTAG00000005657",32,9,0.181249332627506
"130","ENSBTAT00000007435","1",82895407,82908968,13561,2276,19,"ENSBTAG00000005658",146,51,0.16534272702202
"131","ENSBTAT00000007436","1",82879052,82888188,9136,2703,21,"ENSBTAG00000005660",194,67,0.171180923256987
"132","ENSBTAT00000007523","1",57725647,57740915,15268,1677,9,"ENSBTAG00000005723",62,21,0.41283890195803
"133","ENSBTAT00000007584","1",136814837,136869347,54510,3966,27,"ENSBTAG00000005769",200,70,0.315174246046893
"134","ENSBTAT00000007606","1",52880115,52953279,73164,1276,11,"ENSBTAG00000005787",76,33,0.217043115192482
"135","ENSBTAT00000007705","1",107045703,107077395,31692,3841,23,"ENSBTAG00000005862",106,38,0.773676113144931
"136","ENSBTAT00000007717","1",98295334,98343626,48292,3020,13,"ENSBTAG00000005871",128,37,0.205693307062826
"137","ENSBTAT00000007786","1",339073,346959,7886,734,4,"ENSBTAG00000006648",16,2,0.194703665756848
"138","ENSBTAT00000008047","1",42466127,42467101,974,974,1,"ENSBTAG00000022908",32,15,0.37388161750243
"139","ENSBTAT00000008053","1",42592173,42593114,941,941,1,"ENSBTAG00000033437",110,21,0.390449722945752
"140","ENSBTAT00000008082","1",113326648,113371063,44415,3005,25,"ENSBTAG00000006142",112,51,0.584912244680161
"141","ENSBTAT00000008088","1",113234818,113319981,85163,2182,5,"ENSBTAG00000006147",34,19,0.124064282613652
"142","ENSBTAT00000008099","1",53353203,53467044,113841,3030,30,"ENSBTAG00000006158",111,36,0.545472028393907
"143","ENSBTAT00000008169","1",126977599,127026594,48995,1145,10,"ENSBTAG00000006222",27,10,0.285390144815897
"144","ENSBTAT00000008170","1",126956309,127026594,70285,1276,11,"ENSBTAG00000006222",27,11,0.352505551855024
"145","ENSBTAT00000008460","1",60307575,60407168,99593,732,3,"ENSBTAG00000006451",151,63,0.284673700731396
"146","ENSBTAT00000008486","1",69963261,70052736,89475,2261,13,"ENSBTAG00000006471",57,11,0.311997202324406
"147","ENSBTAT00000008495","1",152232655,152283296,50641,2418,21,"ENSBTAG00000006479",76,45,0.294604687491043
"148","ENSBTAT00000008509","1",76849206,76869464,20258,757,5,"ENSBTAG00000006494",16,7,0.289111558460767
"149","ENSBTAT00000008604","1",83960857,84019123,58266,2227,20,"ENSBTAG00000006548",57,31,0.242082098192076
"150","ENSBTAT00000008608","1",83922369,83945610,23241,1293,6,"ENSBTAG00000006552",62,22,0.195479572439893
"151","ENSBTAT00000008696","1",139406844,139412318,5474,298,5,"ENSBTAG00000018768",18,4,0.126878150122493
"152","ENSBTAT00000008737","1",339073,350389,11316,857,4,"ENSBTAG00000006648",15,3,0.204563291966836
"153","ENSBTAT00000008955","1",37110761,37519277,408516,2935,17,"ENSBTAG00000006811",77,44,0.186951850465334
"154","ENSBTAT00000009029","1",80349375,80350079,704,670,2,"ENSBTAG00000006872",17,6,0.205921653994394
"155","ENSBTAT00000009058","1",52333210,52425449,92239,2811,15,"ENSBTAG00000006893",126,38,0.241976161569105
"156","ENSBTAT00000009059","1",149814673,150054410,239737,1266,3,"ENSBTAG00000037616",37,12,0.227453532265399
"157","ENSBTAT00000009083","1",130370045,130470949,100904,3188,22,"ENSBTAG00000006909",67,23,0.423007743133614
"158","ENSBTAT00000009087","1",82960643,82968184,7541,2106,21,"ENSBTAG00000006920",84,32,0.107619845887396
"159","ENSBTAT00000009113","1",68349953,68360827,10874,631,5,"ENSBTAG00000006947",18,9,0.112578716163963
"160","ENSBTAT00000009121","1",75927242,76005780,78538,907,11,"ENSBTAG00000006945",3,3,0.322218847020726
"161","ENSBTAT00000009235","1",134765526,134828694,63168,2101,14,"ENSBTAG00000007014",69,20,0.313657283520258
"162","ENSBTAT00000009259","1",146538428,146555361,16933,1062,9,"ENSBTAG00000007039",61,19,0.123512414630789
"163","ENSBTAT00000009338","1",144057012,144129876,72864,3703,23,"ENSBTAG00000007100",197,83,0.125447298897935
"164","ENSBTAT00000009343","1",144134157,144147075,12918,2736,21,"ENSBTAG00000007105",280,98,0.326475560417099
"165","ENSBTAT00000009346","1",144149318,144157650,8332,815,7,"ENSBTAG00000007106",42,22,0.314327144538581
"166","ENSBTAT00000009564","1",135579404,135617968,38564,2094,18,"ENSBTAG00000007273",97,39,0.115611666895973
"167","ENSBTAT00000009600","1",81956536,81960073,3537,379,2,"ENSBTAG00000007296",6,0,0.210149623050131
"168","ENSBTAT00000009720","1",97390789,97421640,30851,1189,8,"ENSBTAG00000039442",41,9,0.335380173541065
"169","ENSBTAT00000009970","1",70935518,70987384,51866,1456,11,"ENSBTAG00000007577",56,16,0.383701763564077
"170","ENSBTAT00000010239","1",116654943,117015878,360935,6430,44,"ENSBTAG00000021703",225,84,0.102801138285315
"171","ENSBTAT00000010277","1",118497123,118642248,145125,1194,6,"ENSBTAG00000007814",108,33,0.231529734458882
"172","ENSBTAT00000010281","1",145090333,145103154,12821,1422,9,"ENSBTAG00000007818",128,61,0.325186899701277
"173","ENSBTAT00000010430","1",124868682,124888063,19381,1287,3,"ENSBTAG00000007933",138,37,0.272718644476324
"174","ENSBTAT00000010436","1",35381497,35413607,32110,633,6,"ENSBTAG00000007939",21,12,0.574660534615946
"175","ENSBTAT00000010480","1",36156437,36162231,5794,1170,3,"ENSBTAG00000007970",33,17,0.175013053122755
"176","ENSBTAT00000010623","1",107041291,107042373,1082,1082,1,"ENSBTAG00000008078",67,14,0.594931886691611
"177","ENSBTAT00000010667","1",130610164,130664098,53934,2587,23,"ENSBTAG00000008111",180,61,0.18268726058991
"178","ENSBTAT00000010847","1",153179306,153224017,44711,1897,11,"ENSBTAG00000008240",180,69,0.37854016293135
"179","ENSBTAT00000010919","1",132168223,132207086,38863,907,8,"ENSBTAG00000008299",56,23,0.191217870486538
"180","ENSBTAT00000010937","1",112055258,112167876,112618,4970,22,"ENSBTAG00000008307",207,58,0.116578803097335
"181","ENSBTAT00000010991","1",82703762,82704646,884,884,1,"ENSBTAG00000008343",86,24,0.267430893613401
"182","ENSBTAT00000011007","1",29058030,29062152,4122,357,3,"ENSBTAG00000008359",36,9,0.242883674594487
"183","ENSBTAT00000011134","1",72877488,72899723,22235,1910,13,"ENSBTAG00000008461",153,58,0.238807013403166
"184","ENSBTAT00000011146","1",141627743,141656404,28661,2117,13,"ENSBTAG00000008471",99,43,0.0924725558763128
"185","ENSBTAT00000011175","1",1955015,1979829,24814,6869,10,"ENSBTAG00000008482",339,147,0.531997259695848
"186","ENSBTAT00000011215","1",133119405,133288554,169149,3437,13,"ENSBTAG00000023416",60,24,0.353296493573446
"187","ENSBTAT00000011287","1",64246701,64268467,21766,1165,11,"ENSBTAG00000008562",22,4,0.263818958664202
"188","ENSBTAT00000011480","1",128385398,128561716,176318,2628,15,"ENSBTAG00000008714",99,49,0.152025414772238
"189","ENSBTAT00000011669","1",66151784,66215030,63246,9664,20,"ENSBTAG00000008862",243,101,0.44436351317799
"190","ENSBTAT00000011684","1",71405284,71410532,5248,464,4,"ENSBTAG00000008873",40,11,0.24256773430796
"191","ENSBTAT00000011863","1",110158803,110164171,5368,1143,3,"ENSBTAG00000009012",68,22,0.206555831851775
"192","ENSBTAT00000011866","1",63995634,64009517,13883,773,7,"ENSBTAG00000009014",15,7,0.194428606636598
"193","ENSBTAT00000011976","1",57309286,57343290,34004,930,12,"ENSBTAG00000009084",32,7,0.440673492485953
"194","ENSBTAT00000011977","1",57344901,57362843,17942,1269,6,"ENSBTAG00000009085",28,10,0.300659283149795
"195","ENSBTAT00000012000","1",117598644,117600305,1661,195,3,"ENSBTAG00000009104",9,3,0.174098749358795
"196","ENSBTAT00000012002","1",117556976,117597936,40960,1741,14,"ENSBTAG00000009106",42,19,0.431177152732599
"197","ENSBTAT00000012013","1",127832838,127902068,69230,817,2,"ENSBTAG00000009115",122,44,0.470034102291318
"198","ENSBTAT00000012035","1",141677700,141706116,28416,1931,13,"ENSBTAG00000030913",109,44,0.0854117289647395
"199","ENSBTAT00000012036","1",141714022,141747758,33736,1457,13,"ENSBTAG00000009132",100,50,0.107452548272638
"200","ENSBTAT00000012063","1",125961516,125986585,25069,1262,13,"ENSBTAG00000009154",25,9,0.633434363358087
"201","ENSBTAT00000012106","1",2028900,2030039,1139,1139,1,"ENSBTAG00000009187",89,26,0.431315382848394
"202","ENSBTAT00000012108","1",1988874,2011789,22915,3009,21,"ENSBTAG00000009188",105,39,0.246036425485898
"203","ENSBTAT00000012144","1",151166633,151179626,12993,1401,9,"ENSBTAG00000009214",90,40,0.213902855158759
"204","ENSBTAT00000012150","1",33715569,34095241,379672,1301,10,"ENSBTAG00000009219",37,18,0.385576333543897
"205","ENSBTAT00000012168","1",87879577,87908342,28765,3184,20,"ENSBTAG00000009232",76,35,0.592801081303511
"206","ENSBTAT00000012197","1",138565356,138835180,269824,1982,16,"ENSBTAG00000009258",94,37,0.248694937129849
"207","ENSBTAT00000012206","1",108706868,108732462,25594,1388,16,"ENSBTAG00000009263",53,29,0.20788772949716
"208","ENSBTAT00000012361","1",64349860,64376862,27002,1462,11,"ENSBTAG00000009391",39,20,0.118229599182258
"209","ENSBTAT00000012565","1",80218351,80233920,15569,699,3,"ENSBTAG00000010357",29,11,0.120863539308117
"210","ENSBTAT00000012650","1",71175393,71182420,7027,2073,3,"ENSBTAG00000009614",165,53,0.181662160315381
"211","ENSBTAT00000012983","1",116897078,116898034,956,956,1,"ENSBTAG00000009848",37,15,0.228350440064265
"212","ENSBTAT00000013108","1",66988223,66995929,7706,2212,5,"ENSBTAG00000009933",138,42,0.209589204974453
"213","ENSBTAT00000013117","1",153882096,154093770,211674,3348,6,"ENSBTAG00000009942",216,66,0.319858717646473
"214","ENSBTAT00000013306","1",42014149,42047282,33133,551,7,"ENSBTAG00000010091",9,2,0.491106340960537
"215","ENSBTAT00000013673","1",80222836,80233920,11084,745,2,"ENSBTAG00000010357",29,11,0.127520091471972
"216","ENSBTAT00000013702","1",69332537,69349823,17286,936,9,"ENSBTAG00000010382",25,8,0.26936015036741
"217","ENSBTAT00000013705","1",116318280,116319233,953,953,1,"ENSBTAG00000010385",10,6,0.48054869212136
"218","ENSBTAT00000013720","1",83654114,83911443,257329,3238,29,"ENSBTAG00000010394",127,32,0.198457778198943
"219","ENSBTAT00000013791","1",138181418,138320200,138782,567,6,"ENSBTAG00000010448",11,6,0.144589477879613
"220","ENSBTAT00000013860","1",87721736,87762012,40276,2209,17,"ENSBTAG00000010485",114,31,0.453205583825789
"221","ENSBTAT00000013947","1",96541824,96557619,15795,455,4,"ENSBTAG00000010550",13,8,0.328127856620151
"222","ENSBTAT00000014138","1",66773125,66783655,10530,291,3,"ENSBTAG00000010688",17,7,0.329663784577812
"223","ENSBTAT00000014293","1",57376994,57411356,34362,2855,7,"ENSBTAG00000010793",194,61,0.0914263290075037
"224","ENSBTAT00000014388","1",157751045,157762597,11552,960,9,"ENSBTAG00000051758",35,7,0.202883185668555
"225","ENSBTAT00000014446","1",95029121,95032360,3239,1096,2,"ENSBTAG00000010874",97,33,0.339174043948672
"226","ENSBTAT00000014524","1",42792045,42793010,965,965,1,"ENSBTAG00000027782",24,4,0.335053390284747
"227","ENSBTAT00000014591","1",46190254,46199917,9663,2145,12,"ENSBTAG00000010987",95,41,0.0953467490171948
"228","ENSBTAT00000014608","1",150670293,150803630,133337,1356,9,"ENSBTAG00000011001",64,23,0.232395925536521
"229","ENSBTAT00000014759","1",126040714,126041844,1130,1130,1,"ENSBTAG00000011116",177,47,0.719277570397973
"230","ENSBTAT00000014794","1",101522749,101600669,77920,1925,4,"ENSBTAG00000011139",54,24,0.461439672940975
"231","ENSBTAT00000014796","1",66820378,66861369,40991,463,5,"ENSBTAG00000011140",24,8,0.211176870184442
"232","ENSBTAT00000014799","1",66876618,66916315,39697,1601,13,"ENSBTAG00000011143",27,10,0.345817821488911
"233","ENSBTAT00000014803","1",118224018,118325939,101921,1131,9,"ENSBTAG00000011147",43,13,0.365150618013942
"234","ENSBTAT00000014805","1",118213412,118218489,5077,417,3,"ENSBTAG00000011150",26,11,0.256880478921992
"235","ENSBTAT00000014864","1",116791506,116797979,6473,1072,2,"ENSBTAG00000011192",11,11,0.142096262074794
"236","ENSBTAT00000014972","1",117161151,117204816,43665,693,3,"ENSBTAG00000011267",5,5,0.138761160170587
"237","ENSBTAT00000015004","1",40948983,40950335,1352,1352,1,"ENSBTAG00000034182",135,42,0.180699998014584
"238","ENSBTAT00000015114","1",88159089,88194729,35640,701,4,"ENSBTAG00000011377",18,6,0.194200649164952
"239","ENSBTAT00000015120","1",69894801,69946577,51776,1336,14,"ENSBTAG00000011383",35,18,0.337918430897529
"240","ENSBTAT00000015160","1",70460314,70473603,13289,1585,5,"ENSBTAG00000032819",110,33,0.17447689572965
"241","ENSBTAT00000015168","1",83003574,83012323,8749,2168,16,"ENSBTAG00000011414",143,56,0.167968560300264
